Init Import Duration,Init Perception Planning Duration,Init Functions Duration,Init Post Duration,Total Init Duration,Target Object,Pick Count,Grasp Choice (Seg ID),Grasp Choice Duration,Grasp Score,Total Computation Duration,Total Grasp Planning Duration,Total Motion Planning Duration,Object Name,Grasp Success,Grasped,Total Execution Duration,Retract Success,Dropped,Grasp Result,Retrieved Target Object,Grasp Retracted Objects,Accidental Dropped Objects,Grasp Result finished Count,Grasp Result timeout Count,Grasp Result no_valid_grasps_found Count,Grasp Result grasp_choice_failed Count,Grasp Result no_valid_motion_plan_found Count,Grasp Success True Count,Grasp Success False Count,Grasp Retracted Objects Count,Accidental Dropped Objects Count,Scene,Experiment Path,Method,Total Experiment Time,Dropped Target Object,Error
0.0453829765319824,0.7868411540985107,0.0002660751342773,0.0267531871795654,0.8596494197845459,obj_000049_0,4.0,"8,5,6,0","32.98430395126343,35.491490840911865,29.185264110565186,7.500107288360596","1.0,0.3333333333333333,0.3333333333333333,1.0","69.80357766151428,68.72767877578735,63.11114048957825,40.14152479171753","25.1436128616333,25.5355224609375,24.12692070007324,25.323167085647583","5.816636323928833,3.092146635055542,4.779160976409912,2.9902055263519287","obj_000060_0,obj_000053_0,obj_000067_0,obj_000049_0","True,True,True,True","['obj_000060_0'],['obj_000053_0'],['obj_000067_0'],['obj_000049_0']","38.66692614555359,40.32192015647888,28.37029457092285,25.443992137908936","True,True,True,True","obj_000060_0,obj_000067_0,obj_000053_0","finished,finished,finished,finished",True,"obj_000060_0,obj_000067_0,obj_000053_0,obj_000049_0",,4,0,0,0,0,4,0,4,0,unstructured_30,trial_2025-12-07_23-42-10__unstructured__all_auto/30__obj_000049_0__dg_into_vlm,dg_into_vlm,423.3056855201721,,
0.049678087234497,0.7894740104675293,0.0001382827758789,0.0386221408843994,0.8783249855041504,obj_000041_1,2.0,"13,0","0.4061596393585205,0.3956663608551025","1.0,1.0","27.580265760421756,22.693490743637085","19.01444721221924,14.035587310791016","3.92380428314209,4.244711399078369","obj_000036_0,obj_000041_1","True,True","['obj_000036_0'],['obj_000041_1']","64.62364101409912,56.492820739746094","True,True","obj_000034_1,obj_000036_0","finished,finished",True,"obj_000041_1,obj_000036_0",obj_000034_1,2,0,0,0,0,2,0,2,1,unstructured_24,trial_2025-12-07_23-42-10__unstructured__all_auto/24__obj_000041_1__random,random,214.75691938400269,,
0.0481228828430175,0.7970812320709229,0.0001804828643798,0.0391368865966796,0.8851382732391357,obj_000043_0,4.0,"9,6,1,0","12.81057333946228,11.558205604553224,9.37021541595459,7.09018874168396","0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666","35.71443724632263,32.37120819091797,27.05305337905884,24.40837550163269","14.622088193893433,13.160282135009766,11.331801891326904,10.515305995941162","3.9054675102233887,3.727152109146118,2.4159932136535645,2.908939838409424","obj_000063_0,obj_000068_0,obj_000051_0,obj_000043_0","False,True,True,True","[],['obj_000068_0'],['obj_000051_0'],['obj_000043_0']","25.027806282043457,24.84875464439392,17.00922656059265,20.427878856658936","False,True,True,True","obj_000068_0,obj_000051_0,obj_000063_0","finished,finished,finished,finished",True,"obj_000051_0,obj_000068_0,obj_000043_0",obj_000063_0,4,0,0,0,0,3,1,3,1,unstructured_10,trial_2025-12-07_23-42-10__unstructured__all_auto/10__obj_000043_0__dg_only,dg_only,280.0038146972656,,
0.0437297821044921,0.8306174278259277,0.0001442432403564,0.0360889434814453,0.9110863208770752,obj_000044_0,12.0,"7,10,10,15,8,8,6,4,6,9,1,0","41.171581506729126,64.91763043403625,79.26065015792847,163.34586453437805,54.008758306503296,71.25770902633667,118.04055738449097,53.99027371406555,55.95468831062317,37.779502153396606,31.915318965911865,41.76888132095337","1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","95.53054213523863,118.73973107337952,127.511709690094,203.782559633255,89.0317919254303,104.33864688873292,151.90190243721008,82.99468922615051,84.71355628967285,62.52658414840698,53.68508982658386,59.81917476654053","42.19083523750305,40.4440336227417,36.8488290309906,29.832968950271606,26.01737141609192,25.57401752471924,25.08834648132324,21.16990828514099,21.15501999855041,17.342969179153442,15.245827674865724,11.179308891296388","6.563711404800415,7.133392810821533,5.9425883293151855,6.108201026916504,4.516390085220337,2.758164405822754,4.07722806930542,3.260756254196167,3.5998404026031494,3.287460327148437,2.7395427227020264,3.0712263584136963","obj_000065_0,obj_000068_0,obj_000059_0,obj_000063_0,obj_000048_0,obj_000041_0,obj_000067_0,obj_000053_0,obj_000052_0,obj_000064_0,obj_000054_0,obj_000044_0","True,True,True,True,True,True,True,True,True,True,True,True","['obj_000065_0'],['obj_000068_0'],['obj_000059_0'],['obj_000063_0'],['obj_000048_0'],['obj_000041_0'],['obj_000067_0'],['obj_000053_0'],['obj_000052_0'],['obj_000064_0'],['obj_000054_0'],['obj_000044_0']","34.11102342605591,42.3732123374939,34.98538136482239,34.97463417053223,33.03361535072327,53.01164078712464,36.31723928451538,51.282479763031006,46.57317399978638,42.171345472335815,40.28404951095581,46.99986219406128","True,True,True,True,True,True,True,True,True,True,False,True","obj_000065_0,obj_000053_0,obj_000041_0,obj_000059_0,obj_000052_0,obj_000067_0,obj_000054_0,obj_000063_0,obj_000048_0,obj_000062_0,obj_000064_0,obj_000068_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished",True,"obj_000065_0,obj_000053_0,obj_000041_0,obj_000059_0,obj_000052_0,obj_000067_0,obj_000063_0,obj_000048_0,obj_000044_0,obj_000064_0,obj_000068_0","obj_000062_0,obj_000054_0",12,0,0,0,0,12,0,11,2,unstructured_134,trial_2025-12-07_23-42-10__unstructured__all_auto/134__obj_000044_0__vlm_dg,vlm_dg,1862.5826432704928,,
0.047464370727539,0.762709379196167,0.0002088546752929,0.0995488166809082,0.9105045795440674,obj_000050_0,12.0,"9,10,10,10,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,6,3,5,0","43.06455779075623,40.73014903068543,25.16581964492798,34.86139917373657,42.03984045982361,42.45461988449097,19.358927726745605,37.39429903030396,44.46418881416321,47.938506841659546,29.069836616516117,28.97612309455872,42.36346960067749,20.01774406433105,40.52332329750061,33.69617795944214,38.75261569023132,50.63323783874512,34.778170585632324,30.276546955108643,19.12085771560669,21.62902021408081,25.53997564315796,41.60170793533325,8.459377765655518,11.615888833999634,6.597405433654785","1.0,1.0,1.0,0.6666666666666666,1.0","84.48108267784119,78.5344090461731,74.09018850326538,47.44466781616211,32.53426694869995","29.034364223480225,25.019559144973755,20.68541264533997,17.49867868423462,15.715866565704346","6.138591527938843,5.825879096984863,6.316448926925659,4.8108203411102295,5.092647552490234","obj_000049_2,obj_000066_0,obj_000061_1,obj_000065_0,obj_000050_0","True,True,True,True,True","['obj_000049_2'],['obj_000066_0'],['obj_000061_1'],['obj_000065_0'],['obj_000050_0']","41.77888464927673,33.86131572723389,36.32502341270447,48.39790010452271,44.02680921554565","True,True,True,True,True","obj_000065_0,obj_000049_2,obj_000066_0,obj_000061_1","finished,grasp_choice_failed,finished,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,finished,finished,finished",True,"obj_000065_0,obj_000061_1,obj_000050_0,obj_000049_2,obj_000066_0",,5,0,0,7,0,5,0,5,0,unstructured_122,trial_2025-12-07_23-42-10__unstructured__all_auto/122__obj_000050_0__vlm_only,vlm_only,1499.9934117794037,,
0.0455319881439209,0.849707841873169,0.0002031326293945,0.0466060638427734,0.942445993423462,obj_000048_0,5.0,"5,8,5,4,0","54.36695718765259,49.52649140357971,53.91259527206421,63.883294105529785,25.577104806900024","1.0,1.0,1.0,1.0,1.0","86.98052549362183,77.3774938583374,78.47176170349121,86.67691898345947,45.61648154258728","19.240102767944336,16.877747058868408,14.72000789642334,12.898642778396606,11.99027943611145","6.951563835144043,5.842629909515381,4.803723335266113,5.696585416793823,3.88028621673584","obj_000061_1,obj_000036_0,obj_000059_0,obj_000061_0,obj_000048_0","True,True,True,True,True","['obj_000061_1'],['obj_000036_0'],['obj_000059_0'],['obj_000061_0'],['obj_000048_0']","29.560393810272217,26.091810703277588,27.75296759605408,26.7054455280304,16.998177766799927","True,True,True,False,True","obj_000059_0,obj_000061_0,obj_000036_0,obj_000061_1","finished,finished,finished,finished,finished",True,"obj_000059_0,obj_000036_0,obj_000048_0,obj_000061_1",obj_000061_0,5,0,0,0,0,5,0,4,1,unstructured_128,trial_2025-12-07_23-42-10__unstructured__all_auto/128__obj_000048_0__vlm_dg,vlm_dg,559.9868071079254,,
0.0597379207611084,0.776940107345581,0.0001556873321533,0.0381641387939453,0.8754000663757324,obj_000044_1,11.0,"11,2,1,4,4,2,1,5,4,1,1","22.12307643890381,32.023534536361694,25.961703538894653,31.60368585586548,22.75171947479248,35.64191508293152,51.484978437423706,40.98435878753662,32.04160737991333,9.36988353729248,25.594990253448486","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0","70.99753212928772,76.38743019104004,64.97005581855774,66.22839021682739,59.19083070755005,64.6783504486084,77.46377968788147,60.55604362487793,47.87701797485352,24.035369634628296,35.26512336730957","32.06911492347717,29.64143943786621,26.272002458572388,21.346354007720947,21.81253743171692,18.367886066436768,16.086944580078125,11.65234112739563,9.632877826690674,7.232738971710205,4.302311420440674","7.848024845123291,7.076926946640015,6.02101731300354,6.922745227813721,8.321377754211426,5.53158712387085,5.022884368896484,3.740312099456787,2.259397029876709,3.456506967544556,1.9934866428375244","obj_000057_1,obj_000066_0,obj_000062_1,obj_000044_0,obj_000058_2,obj_000058_0,obj_000062_0,obj_000057_0,obj_000052_1,obj_000058_1,obj_000044_2","True,True,True,True,True,True,True,True,True,True,True","['obj_000057_1'],['obj_000066_0'],['obj_000062_1'],['obj_000044_0'],['obj_000058_2'],['obj_000058_0'],['obj_000062_0'],['obj_000057_0'],['obj_000052_1'],['obj_000058_1'],['obj_000044_2']","31.97426748275757,36.8224573135376,33.69243025779724,33.119524002075195,32.30962681770325,20.452532291412357,22.48931646347046,35.45339751243591,21.13771653175354,16.43177080154419,19.231560468673703","True,True,True,True,True,True,True,True,False,True,True","obj_000058_1,obj_000062_1,obj_000058_0,obj_000057_1,obj_000052_1,obj_000058_2,obj_000057_0,obj_000044_0,obj_000062_0,obj_000044_1,obj_000066_0","finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished",,"obj_000058_1,obj_000062_1,obj_000058_0,obj_000044_2,obj_000057_1,obj_000058_2,obj_000057_0,obj_000044_0,obj_000062_0,obj_000066_0","obj_000044_1,obj_000052_1",11,0,0,0,0,11,0,10,2,unstructured_110,trial_2025-12-07_23-42-10__unstructured__all_auto/110__obj_000044_1__dg_into_vlm,dg_into_vlm,1037.5860006809237,True,
0.0529179573059082,0.7851474285125732,0.0002138614654541,0.0290868282318115,0.8678216934204102,obj_000047_1,8.0,"1,7,9,7,3,7,4,0","13.45693016052246,16.32751727104187,16.61186647415161,17.392833948135376,16.266807794570923,13.12528157234192,9.856138944625854,8.231819152832031","1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0","90.22238945961,62.6874144077301,55.77773690223694,52.53349184989929,47.07007789611816,40.14083194732666,35.807969093322754,31.95000648498535","30.455525159835812,35.34457302093506,30.810455799102783,26.540974855422974,23.009503841400143,19.043880224227905,17.95287847518921,15.655137538909912","40.02375626564026,5.775444507598877,3.738802909851074,4.176297664642334,3.6232945919036874,3.753116369247437,3.780905723571777,3.897145986557007","obj_000062_0,obj_000061_1,obj_000049_2,obj_000049_0,obj_000047_0,obj_000045_0,obj_000065_0,obj_000047_1","True,True,False,True,True,True,True,True","['obj_000062_0'],['obj_000061_1'],[],['obj_000049_0'],['obj_000047_0'],['obj_000045_0'],['obj_000065_0'],['obj_000047_1']","52.706971406936646,33.43000102043152,37.54988503456116,35.128989458084106,43.074583530426025,39.96483850479126,25.700822114944454,29.93337368965149","True,True,True,True,True,True,True,True","obj_000049_0,obj_000047_0,obj_000065_0,obj_000061_1,obj_000049_2,obj_000062_0,obj_000045_0","finished,finished,finished,finished,finished,finished,finished,finished",True,"obj_000049_0,obj_000047_0,obj_000065_0,obj_000061_1,obj_000062_0,obj_000047_1,obj_000045_0",obj_000049_2,8,0,0,0,0,7,1,7,1,unstructured_122,trial_2025-12-07_23-42-10__unstructured__all_auto/122__obj_000047_1__dg_only,dg_only,793.3329613208771,,"MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL"
0.0499219894409179,5.931394815444946,0.0002095699310302,0.0374882221221923,6.019459009170532,obj_000043_0,5.0,"8,2,0,12,0","69.37310028076172,62.00246715545654,54.33936905860901,50.78019547462464,82.67422485351562","1.0,1.0,0.3333333333333333,1.0,0.6666666666666666","102.17530822753906,94.4270966053009,83.10576677322388,77.44556903839111,107.60636830329896","23.348721265792847,23.53786993026733,20.65575218200684,18.68241238594055,17.207910537719727","5.008787393569946,4.404845714569092,3.8008623123168954,3.6582188606262207,3.6162731647491455","obj_000060_0,obj_000062_0,obj_000043_0,obj_000057_0,obj_000043_0","True,True,False,True,True","['obj_000060_0'],['obj_000062_0'],[],['obj_000057_0'],['obj_000043_0']","40.65034365653992,32.40108275413513,22.083061933517456,33.118651390075684,37.05133557319641","True,True,False,True,True","obj_000062_0,obj_000057_0,obj_000060_0","finished,finished,finished,finished,finished",True,"obj_000062_0,obj_000057_0,obj_000060_0,obj_000043_0",,5,0,0,0,0,4,1,4,0,unstructured_30,trial_2025-12-07_23-42-10__unstructured__all_auto/30__obj_000043_0__vlm_dg,vlm_dg,689.769773721695,,
0.0387623310089111,0.753711462020874,0.0001306533813476,0.0562689304351806,0.8492245674133301,obj_000044_1,6.0,"3,2,4,8,1,0","22.68043065071106,24.492307901382446,22.44855546951294,17.021421194076538,16.243759870529175,14.715424537658691","1.0,1.0,1.0,1.0,1.0,0.6666666666666666","72.66185688972473,70.89253115653992,62.895663022995,51.78622460365296,46.74572539329529,41.15350866317749","31.97787046432495,32.7221953868866,29.162014722824097,24.721341848373413,21.737244606018063,18.14185833930969","10.760802268981934,7.044093608856201,6.0762553215026855,5.413780212402344,4.210808753967285,4.124079704284668","obj_000058_0,obj_000062_1,obj_000058_2,obj_000057_0,obj_000062_0,obj_000044_1","True,True,True,True,True,True","['obj_000058_0'],['obj_000062_1'],['obj_000058_2'],['obj_000057_0'],['obj_000062_0'],['obj_000044_1']","36.65189456939697,33.755971908569336,32.44969701766968,28.833125352859497,30.25582218170166,32.81295108795166","True,True,True,True,True,True","obj_000062_1,obj_000058_0,obj_000058_2,obj_000057_0,obj_000062_0","finished,finished,finished,finished,finished,finished",True,"obj_000062_1,obj_000058_0,obj_000058_2,obj_000057_0,obj_000062_0,obj_000044_1",,6,0,0,0,0,6,0,6,0,unstructured_110,trial_2025-12-07_23-42-10__unstructured__all_auto/110__obj_000044_1__dg_only,dg_only,597.237827539444,,
